"","row","column","cor","p"
"1","AT","AP",-0.409745454704319,0
"2","AT","AH",-0.449260744675477,0
"3","AP","AH",-0.030536482363309,4.80628892240986e-09
"4","AT","AFDP",0.296911846564638,0
"5","AP","AFDP",-0.0653166196903154,0
"6","AH","AFDP",-0.16572699678143,0
"7","AT","GTEP",0.155154913741994,0
"8","AP","GTEP",-0.0111105686220809,0.033218805362254
"9","AH","GTEP",-0.280649822083399,0
"10","AFDP","GTEP",0.695573984027164,0
"11","AT","TIT",0.179090316998206,0
"12","AP","TIT",0.00188742781330926,0.71755403715477
"13","AH","TIT",-0.245423662304404,0
"14","AFDP","TIT",0.741553972689923,0
"15","GTEP","TIT",0.926301746219906,0
"16","AT","TAT",0.187189431369877,0
"17","AP","TAT",-0.142621273161674,0
"18","AH","TAT",0.0538271996884282,0
"19","AFDP","TAT",-0.344082844983235,0
"20","GTEP","TAT",-0.481672645834379,0
"21","TIT","TAT",-0.449657538355299,0
"22","AT","TEY",-0.0567615488947254,0
"23","AP","TEY",0.0771983247051631,0
"24","AH","TEY",-0.14275638687978,0
"25","AFDP","TEY",0.655321877841527,0
"26","GTEP","TEY",0.920912630638458,0
"27","TIT","TEY",0.929036987994769,0
"28","TAT","TEY",-0.499017042681169,0
"29","AT","CDP",0.130097989880299,0
"30","AP","CDP",0.0419765585464098,8.88178419700125e-16
"31","AH","CDP",-0.249984524743797,0
"32","AFDP","CDP",0.725838562931441,0
"33","GTEP","CDP",0.968386942854555,0
"34","TIT","CDP",0.962972304487747,0
"35","TAT","CDP",-0.490502458360832,0
"36","TEY","CDP",0.950211610835526,0
"37","AT","CO",-0.114025639399841,0
"38","AP","CO",0.0331997474803282,1.95858884666222e-10
"39","AH","CO",0.0808048689566574,0
"40","AFDP","CO",-0.536205797457604,0
"41","GTEP","CO",-0.639133274900908,0
"42","TIT","CO",-0.698435474569892,0
"43","TAT","CO",0.18388996334498,0
"44","TEY","CO",-0.671617670442267,0
"45","CDP","CO",-0.675230663298904,0
"46","AT","NOX",-0.580364561647489,0
"47","AP","NOX",0.194497040738931,0
"48","AH","NOX",0.149635155505543,0
"49","AFDP","NOX",-0.140449608668166,0
"50","GTEP","NOX",-0.154089091133628,0
"51","TIT","NOX",-0.0780985525568525,0
"52","TAT","NOX",-0.0847724960009133,0
"53","TEY","NOX",-0.00365169476977194,0.484016586687483
"54","CDP","NOX",-0.108100868033897,0
"55","CO","NOX",0.0568422946594847,0
