"","Type","RMSE","R2","MAE","Spearman"
"1","ours_online","21.9593926499246","0.112146648353747","18.8325113587277","0.366088988968131"
"2","original_online","13.1583841500053","0.00631587889537432","9.64670579728063","0.213763463267014"
"3","ours_online","10.3516335513768","0.290538643104845","8.69517499925046","0.604029690320422"
"4","original_online","8.7567148546652","0.0996706260649201","7.85059416074826","0.424752825591284"
"5","ours_online","15.7408066832883","0.00337168228704251","13.3698606814096","-0.0307925601237983"
"6","original_online","10.8175559693864","0.0034262221521065","8.77069826905408","0.0042693529901361"
"7","ours_online","5.1050997765832","0.259546274333185","4.03778994260062","0.319107791230651"
"8","original_online","4.14302743837065","0.393518236417661","2.88337804221439","0.691872995506665"
"9","ours_online","6.11060284109631","0.34151136616159","5.15948762044077","0.600166588403732"
"10","original_online","6.82163476452024","0.0117634617124698","5.73595329755535","0.0290222645983191"
"11","ours_online","8.05874298721447","0.0413427678108613","6.23278462264026","0.155507216668782"
"12","original_online","8.29352119549956","0.000409643339798371","6.96457173978985","-0.0471041049177158"
"13","ours_online","4.24783326742464","0.430140110171739","3.26349493056245","0.664232460035951"
"14","original_online","4.92301960448297","0.196226228245552","4.28822850135689","0.410548092575602"
"15","ours_online","4.61588455304293","0.246706321913751","3.85911361172831","0.398779125784482"
"16","original_online","2.86143841435532","0.638497690822461","2.24335027284727","0.657186268405147"
"17","ours_online","8.41769495864247","0.500517362547913","6.12066926853187","0.668330783074982"
"18","original_online","8.26135200840769","0.374779889381098","5.66038966331979","0.715428536398866"
"19","ours_online","10.4014042890531","0.564079412621382","8.24559008611772","0.611125683250122"
"20","original_online","10.1325319421974","0.479743501723673","7.4487130441841","0.591430186820699"
"21","ours_online","10.7972281579552","0.33510198889263","8.06412466718062","0.413180938844189"
"22","original_online","11.0601897245326","0.27680353968757","8.23239056499594","0.485820749993003"
"23","ours_online","6.50802562341001","0.607877497022663","5.04074508368052","0.726864191524346"
"24","original_online","6.34840222505409","0.637482342649058","4.48900469886534","0.826747732512476"
"25","ours_online","7.47455634530116","0.487690679694182","5.98356614303024","0.692048050031759"
"26","original_online","6.79530001125641","0.45427724092389","4.70625553452765","0.723918772309886"
"27","ours_online","9.96891738036664","0.137554164192335","8.58362599840704","0.173378164550196"
"28","original_online","6.49569942779841","0.174172811518506","5.28069385868018","0.253770955130939"
"29","ours_online","10.3239932088529","0.0632063075234054","8.72675791084212","0.205708643371444"
"30","original_online","5.53658386454002","0.252240708576538","4.65391571742211","0.504323198054514"
"31","ours_online","7.65638525188047","0.0539433492303124","6.09576913197185","-0.237432512300432"
"32","original_online","6.38538774139421","0.109909958117004","5.25747486935308","-0.371973984407049"
"33","ours_online","5.80030988648864","0.0116144683646388","4.15940416374412","0.161072735159907"
"34","original_online","5.52106875935924","0.0145419119367773","4.32269471388662","0.101653077824377"
"35","ours_online","9.55352276592002","0.173722589281228","8.1845168550258","0.309518145631742"
"36","original_online","10.8558283115403","0.160614599503801","9.94367583330913","0.338658769252807"
"37","ours_online","9.25428133650112","0.694947232218048","8.00009467564344","0.794528375418036"
"38","original_online","11.7048388189286","0.473391814487525","10.2978717310237","0.854765113245533"
"39","ours_online","12.35955390004","0.52996397439306","10.863808801826","0.64338750185546"
"40","original_online","12.7447582235759","0.405083802543119","11.1632510868639","0.606757420644293"
"41","ours_offline","22.1453753603424","0.488145096330056","19.4345829590363","0.67787190573252"
"42","original_offline","10.2607781093211","0.436999656533008","8.24245294112004","0.692177721669551"
